Index,Artist,Track Name
1,Ally Nicholas,Fall Into
2,VIOLENT VIRA,I'll Save Myself This Time
3,Ally Nicholas,Seventeen
4,Caleb Arredondo,Echo Sax End
5,VIOLENT VIRA,"You're Not Gone, You're Just Dead!"
6,Regard,Hallucination
7,Greg Gontier,Soleil
8,Greg Gontier,Low
9,Nikitata,ЗАКРЫВАЯ ГЛАЗА
10,Trap19 Connection,CHOSEN ONE
11,GOARTUR,Твой аромат
12,Linkin Park,Don't Stay
13,Rammstein,Sonne
14,NICKA,Ако не съм за теб
15,NICKA,Едно птиче ми каза
16,Rain City Drive,Medicate Me
17,BRANYA,Пополам
18,Neki,Ловлю
19,Вика Коробкова,Всё знала
20,NICKA,Луда
21,NICKA,Дишай
22,WHITE GALLOWS,Сердце
23,chipbagov,LINDO DANÇA - Slowed
24,Jordan Adetunji,KEHLANI
25,Halo,Blow Me Away
26,6YNTHMANE,Zachem
27,Juke,Cigarette Soul
28,Juke,Out Here Drinking (πού πού πού)
29,WHITE GALLOWS,Завет
30,GRECHEKOV,Королева (Минус)
31,АДЛИН,Зачем
32,Reed Wonder,The Machine - Sped Up
33,Bad Wolves,Remember When
34,The Weeknd,House Of Balloons / Glass Table Girls
35,MIRAVI,Воля
36,Toma,Geroi
37,Chitra,NUMB
38,Artemas,cross my heart
39,Camie,DEMISE - GUITAR REMIX & SLOWED
40,Kami Kehoe,SLEEP WHEN IM DEAD
41,Kami Kehoe,WHERE DID IT ALL GO WRONG
42,Kami Kehoe,LALALAND
43,Hueston,All Gone
44,Hueston,High Heels
45,Hueston,What You Waiting On
46,Fordo,JADED
47,Vxlious,minute
48,HRTLSS,Take Me 4 A Ride
49,The Weeknd,Popular (with Playboi Carti & Madonna)
50,The Weeknd,I Was Never There
51,RAF Camora,Unnormal
52,YAKARY,KETAMIN
53,Linkin Park,Lying from You
54,Escape the Fate,One For the Money
55,Papa Roach,The Ending
56,3 Doors Down,Here Without You
57,HRTLSS,Hive
58,GIOIA,shut up
59,NICKA,Лоши сме
60,Farux,Lost In Your Eyes - Sped Up Version
61,Project 98,BLOODY ASS SHOES
62,Ellai,Помню твоё тело
63,Molec,Няма значение
64,Lithe,Numb
65,Lithe,Fall Back
66,Theo,Ekrani
67,Trap19 Connection,BEZ CHUVSTVA
68,Trap19 Connection,ROLEX
69,Trap19 Connection,Loshite Momcheta
70,Theo,Няма да падна
71,Yung Mici,Теб те няма
72,Koce Dqnkov,ISKASH ME
73,Вектор А,Не вернусь
74,Trap19 Connection,FRANCK MULLER
75,Senidah,Balkanka
76,Xenia,Dark Paradise
77,Xenia,Godspeed
78,Xenia,Gates To Venus
